date,day_of_week,workout_type,exercise_raw,exercise_standard,weight_raw,weight_lbs,reps,set_number,volume,has_extender,machine_position,is_synthetic,notes
2024-04-01,Monday,Upper,Natilus SA pulldown,Nautilus Single Arm Pulldown,390,390.0,5.0,1,1950.0,False,,False,
2024-04-01,Monday,Upper,Natilus SA pulldown,Nautilus Single Arm Pulldown,322.5,322.5,8.0,2,2580.0,False,,False,
2024-04-01,Monday,Upper,Natilus SA pulldown,Nautilus Single Arm Pulldown,312.5,312.5,9.0,3,2812.5,False,,False,
2024-04-01,Monday,Upper,Super ROM Dips,Super ROM Dip,BW+45,230.0,8.0,1,1840.0,False,,False,bodyweight
2024-04-01,Monday,Upper,Super ROM Dips,Super ROM Dip,BW+30,215.0,9.0,2,1935.0,False,,False,bodyweight
2024-04-01,Monday,Upper,Super ROM Dips,Super ROM Dip,BW,185.0,11.0,3,2035.0,False,,False,bodyweight
2024-04-01,Monday,Upper,SA Cybex Eagle row,Cybex Single Arm Eagle Row,228.2,228.2,11.0,1,2510.2,False,,False,
2024-04-01,Monday,Upper,SA Cybex Eagle row,Cybex Single Arm Eagle Row,230.4,230.4,10.0,2,2304.0,False,,False,
2024-04-01,Monday,Upper,Trcp OVH ext,Tricep Overhead Extension,235,235.0,7.0,1,1645.0,False,,False,
2024-04-01,Monday,Upper,Trcp OVH ext,Tricep Overhead Extension,190,190.0,9.0,2,1710.0,False,,False,
2024-04-01,Monday,Upper,Trcp OVH ext,Tricep Overhead Extension,175,175.0,8.0,3,1400.0,False,,False,
2024-04-01,Monday,Upper,Bayesian curls,Bayesian Curl,110,110.0,7.0,1,770.0,False,,False,
2024-04-01,Monday,Upper,Bayesian curls,Bayesian Curl,100,100.0,11.0,2,1100.0,False,,False,
2024-04-01,Monday,Upper,Bayesian curls,Bayesian Curl,90,90.0,15.0,3,1350.0,False,,False,
2024-04-02,Tuesday,Legs,Cybex hack,Cybex Hack Squat,382.5,382.5,5.0,1,1912.5,False,,False,
2024-04-02,Tuesday,Legs,Cybex hack,Cybex Hack Squat,320,320.0,5.0,2,1600.0,False,,False,
2024-04-02,Tuesday,Legs,Cybex hack,Cybex Hack Squat,302.5,302.5,6.0,3,1815.0,False,,False,
2024-04-02,Tuesday,Legs,BB rows,Barbell Row,245,245.0,4.0,1,980.0,False,,False,
2024-04-02,Tuesday,Legs,Strive Leg extensions,Strive Leg Extension,210,210.0,5.0,1,1050.0,False,,False,
2024-04-02,Tuesday,Legs,Strive Leg extensions,Strive Leg Extension,210,210.0,5.0,2,1050.0,False,,False,
2024-04-02,Tuesday,Legs,Strive Leg extensions,Strive Leg Extension,210,210.0,5.0,3,1050.0,False,,False,
2024-04-02,Tuesday,Legs,+Leg curls,Leg Curl (Paused),FS,,8.0,1,,False,,False,paused
2024-04-02,Tuesday,Legs,Cybex lateral,Cybex Lateral Raise,190,190.0,4.0,1,760.0,False,,False,
2024-04-02,Tuesday,Legs,Cybex lateral,Cybex Lateral Raise,170,170.0,6.0,2,1020.0,False,,False,
2024-04-02,Tuesday,Legs,Cybex lateral,Cybex Lateral Raise,160,160.0,7.0,3,1120.0,False,,False,
2024-04-02,Tuesday,Legs,Atlantis abductor,Atlantis Abductor,255,255.0,8.0,1,2040.0,False,,False,
